1545,PAGA,PAGA,TIGO/AIRTEL,957.2,0.00010451,104.51,0.01,1883,0.00012107,121.07,0.01,,,,0.00,956.2,0.00001537,15.37,0.01,1889,0.00003417,34.17,0.01,,,,,940.2,0.00003771,37.71,0.01,1838,0.00004231,42.31,0.00,,,,,,,
UEB 5513,PAGA,PAGA,VODAFONE,950.7,0.00000682,6.82,0.01,1806,0.00013221,132.21,0.01,,,,,959.7,0.00006327,63.27,0.02,1887,0.00010633,106.33,0.01,,,,,957.2,0.00011327,113.27,0.03,1891,0.00010737,107.37,0.01,,,,,,,
2956,PELUNGU,PELUNGU,MTN,958.2,0.00005,50,0.77,,,,,,,,,952.7,0.00002,20,0.93,,,,,,,,,953.7,0.000023,23,0.63,,,,,,,,0.00,,,
1612,PUSIGA,PUSIGA,MTN,954.70,0.00002,20,0.95,1861,0.000061,61,0.18,,,,,959.2,0.000049,49,0.49,1860,0.000063,63,0.19,,,,,955.7,0.000028,28,0.38,1860,0.000064,64,0.12,,,,,,,
UEB-5512,PUSIGA,PUSIGA,VODAFONE,953.20,0.000036,36,0.46,1860,0.000067,67,0.07,,,,,953.2,0.000039,39,0.23,1860,0.00007,70,0.04,,,,,953.2,0.000046,46,0.54,1860,0.000069,69,0.05,,,,,,,
1564,Pusiga,PUSIGA,TIGO/AIRTEL,959.20,0.000053,53,0.07,1880,0.000068,68,0.05,,,,,951.2,0.000023,23,0.65,1880,0.000069,69,0.04,,,,,959.2,0.000051,51,0.71,1860,0.000067,67,0.04,,,,,,,
1542,PWALUGU,PWALUGU,TIGO/VODAFONE,955.7,0.000043,43,0.26,,,,,,,,,955.2,0.000046,46,0.19,,,,,,,,,955.2,0.000043,43,0.16,,,,,,,,,,,
0637,PWALUGU,PWALUGU,TIGO,959.2,0.000034,34,0.97,,,,,,,,,958.7,0.00005,50,0.51,,,,,,,,,959.2,0.000039,39,0.44,,,,,,,,,,,
,Pwalagu(Tamale-B-road05,PWALUGU,EXPRESSO,959.2,0.000062,62,0.08,,,,,,,,,953.7,0.000048,48,0.06,,,,,,,,,954.7,0.000047,47,0.06,,,,,,,,,,,
UEB-5508,SANDEMA,SANDEMA,VODAFONE,940.20,0.00008207,82.07,0.01,1832,0.00015462,154.62,0.01,,,,,946.7,0.00007427,74.27,0.01,1832,0.00002176,21.76,0.01,,,,,944.2,0.0000647,64.7,0.01,1835,0.00005257,52.57,0.01,,,,,,,
UEB 5508,SANDEMA,SANDEMA,AIRTEL,940.2,0.00008207,82.07,0.01,1832,0.00015462,154.62,0.01,,,,,946.7,0.00007427,74.27,0.01,1832,0.00002176,21.76,0.01,,,,,944.2,0.0000647,64.7,0.01,1835,0.00005257,52.57,0.01,,,,,,,
1517,Sandema,SANDEMA,TIGO,959.2,0.00001163,11.63,0.00,1833,0.00015337,153.37,0.01,,,,,946.2,0.0000185,18.5,0.00,1833,0.0001627,162.7,0.00,,,,,940.2,0.00012718,127.18,0.01,1836,0.00001575,15.75,0.02,,,,,,,
UER 2612,2612SANDEMA_2,SANDEMA,MTN,54.7,0.00011872,118.72,0.01,1823,0.00004743,47.43,0.00,,,,,954.7,0.00026612,266.12,0.02,1829,0.0005293,529.3,0.01,,,,,956.2,0.00027458,274.58,0.02,1830,0.00011074,110.74,,,,,,,,
UE 0629,0629SANDEMA,SANDEMA,MTN,953.2,0.00003531,35.31,0.01,1843,0.00011326,113.26,0.01,,,,,954.2,0.000011,11,0.01,1849,0.00010223,102.23,0.01,,,,0.01,952.7,0.00000394,3.94,0.01,1882,0.00001362,13.62,0.01,,,,,,,
1565,Sirigu,SIRIGU,TIGO/MTN/VODAFONE,951.70,0.00006033,60.33,0.01,1807,0.00002231,22.31,0.01,,,,,953.2,0.00001367,13.67,0.01,1846,0.00009408,94.08,0.01,,,,,955.2,0.00011536,115.36,0.01,1883,0.00022137,221.37,0.01,,,,,,,
3650,3650SOE_2,SOE BOLGA,MTN/VODAFONE,959.20,0.000018,18,1.11,1860,0.000059,59,0.29,2163,0.000046,46,0.19,950.7,0.000016,16,1.4,1832,0.000029,29,0.45,2163,0.000046,46,0.2,956.2,0.00002,20,1.27,1853,0.000052,52,0.38,2163,0.000047,47,0.15,,,
2925,2925SOE,SOE BOLGA,MTN/AIRTEL,954.70,0.000021,21,0.85,1850,0.000051,51,0.03,2163,0.000047,47,0.06,959.2,0.000027,27,0.84,1844,0.000057,57,0.01,2162,0.000043,43,0.11,957.2,0.000022,22,0.83,1872,0.000069,69,0.12,2163,0.000045,45,0.09,,,
1623 TANDOM,1623TANDON,TANDOM,MTN,955.2,0.00002,20,0.93,1854,0.000061,61,0.01,2163,0.000043,43,0.10,956.7,0.000022,22,0.72,1854,0.000067,67,0.00,2162,0.000043,43,0.09,955.2,0.00002,20,0.93,1854,0.000061,61,0.01,2163,0.000056,56,0.40,,,
2902,2902TEMPANE,TEMPANE,MTN,955.20,0.000014,14,1.86,1860,0.000063,63,0.16,,,,,954.2,0.000019,19,1.04,1860,0.000059,59,0.27,,,,,959.2,0.000015,15,1.56,1860,0.000054,54,0.51,,,,,,,
1535,Tilli,TILLI (BAWKU WEST),TIGO,951.7,0.000036,36,0.15,,,,,,,,,953.4,0.000036,36,0.16,,,,,,,,,953.7,0.000036,36,0.20,,,,,,,,,,,
UEB 5519,TONGO,TONGO,VODAFONE,958.2,0.000051,51,0.51,1853,0.000062,62,0.00,,,,,955.2,0.000031,31,0.48,1853,0.000067,67,0.00,,,,,958.2,0.000053,53,0.50,1853,0.000068,68,0.00,,,64,0.00,,,
1563,TONGO,TONGO,TIGO,950.2,0.000025,25,0.67,1853,0.000068,68,0.00,,,,,950.2,0.000024,24,0.56,1853,0.000068,68,0.00,,,,,948.2,0.000024,24,0.70,1877,0.000066,66,0.00,,,,,,,
1625,TONGO,TONGO,MTN,958.7,0.000024,24,0.56,1853,0.000066,66,0.00,,,,,956.2,0.000025,25,0.48,1853,0.000066,66,0.00,,,,,955.7,0.00002,20,0.90,1853,0.000066,66,0.08,,,54,0.02,,,
