BAB 2023,DUAYAW_NKWANTA,BA,Vodafone,945.70,,59,0.14,945.2,0.000064,64.00,0,951.2,0.000066,66.00,0,1838,0.000036,36.00,0.15,1860,,,,1860,0.000068,68.00,,2123,0.000034,,34.00,0.27,2145,0.000065,65.00,,2152,,68.00,,,,,
2038,GOKA,BA,Vodafone/Airtel,946.70,0.00000025,31,0.23,945.7,0.000031,31.00,0.25,953.2,0.00003,30.00,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAB 2166,GONASUA,BA,Vodafone/MTN,958.70,0.00000069,23,0.66,954.2,0.000022,22.00,0.69,939.2,0.000023,23.00,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH 0434,Gulumpe,BA,Airtel,954.20,0.00000069,22,0.7,953.2,0.000022,22.00,0.69,959.7,0.000028,28.00,0.37,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,,
BAB 2148,JAMERA,BA,Vodafone/MTN,952.20,0.00000002,50,0.02,955.2,0.000053,53.00,0.02,954.2,0.000048,48.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,Jinijini,BA,TIGO/VODAFONE/AIRTEL,948.20,0.00000025,27,0.39,950.2,0.000031,31.00,0.25,950.2,0.000025,25.00,0.52,1820,0.000052,52.00,0.03,1824,0.00005,50.00,0.04,1826,0.000052,52.00,0.03,,,,,,,,,,,,,,,,,
1246,Kenyasi,BA,Tigo,959.20,0.00000002,31,0.25,959.2,0.000053,53.00,0.02,959.7,0.000051,51.00,0.02,1844,0.000041,41.00,0.11,1860,0.00006,60.00,0.01,1860,0.000068,68.00,0,2163,0.000063,,63.00,0.01,,,,,,,,,,,,
,Kintampo,BA,Tigo,958.20,0.00000068,20,0.89,958.2,0.000022,22.00,0.68,958.2,0.000021,21.00,0.88,1850,0.000037,37.00,0.17,1851,0.000038,38.00,0.15,1874,0.000033,33.00,0.29,2123,0.000059,,59.00,0.01,2123,0.000059,59.00,0.01,2122,,53.00,0.03,,,,
,Kintampo,BA,EXPRESSO,954.20,0.00000004,47,0.04,959.7,0.000046,46.00,0.04,,0,,,1841,0.000057,57.00,0.01,1838,0.00006,60.00,0.01,,,,,2123,0.000058,,58.00,0.01,2123,0.000055,55.00,0.02,,,,,,,,
,Kintampo Sawaba,BA,TIGO/VODAFONE/AIRTEL,943.70,0.00000037,25,0.55,959.2,0.000028,28.00,0.37,955.2,0.000025,25.00,0.63,1842,0.000031,31.00,0.38,1844,0.000029,29.00,0.63,1844,0.000034,34.00,0.33,2164,0.000037,,37.00,0.21,2163,0.000032,32.00,0.21,2163,,32.00,0.39,2168,,33,0.32
